	PCA_ncomponents_100	PPMI_PCA_ncomponents_100	PPMI_add1_PCA_ncomponents_100	PPMI_LocallyLinearEmbedding_ncomponents_100	PPMI_add1_LocallyLinearEmbedding_ncomponents_100	LocallyLinearEmbedding_ncomponents_100	PPMI_add1_MDS_ncomponents_100	PPMI_MDS_ncomponents_100	MDS_ncomponents_100	simpleCount	PPMI_VarianceThreshold_threshold_005	PPMI_add1_VarianceThreshold_threshold_0005	VarianceThreshold_threshold_05	VarianceThreshold_threshold_04	VarianceThreshold_threshold_01	PPMI_VarianceThreshold_threshold_001	PPMI_VarianceThreshold_threshold_015	VarianceThreshold_threshold_03	VarianceThreshold_threshold_02	PPMI_add1_VarianceThreshold_threshold_001	VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_0005	VarianceThreshold_threshold_0005	PPMI_VarianceThreshold_threshold_0001	VarianceThreshold_threshold_002	VarianceThreshold_threshold_001	VarianceThreshold_threshold_005	PPMI_VarianceThreshold_threshold_01	PPMI_VarianceThreshold_threshold_03	PPMI_VarianceThreshold_threshold_02	PPMI_VarianceThreshold_threshold_04	PPMI_add1_NMF_ncomponents_100	NMF_ncomponents_100	PPMI_NMF_ncomponents_100	PPMI_add1	PPMI	w2v
0	personnel	personnel	personnel	molotov	format	350	ve	fonder	stupida	personnel	saisie	personnel	lever	lever	lever	saisie	personnel	lever	lever	xviii	saisie	personnel	personnel	envisager	km2.le	77,8	lever	77,8	aller	aller	aller	77,8	personnel	personnel	personnel	personnel	athlétisme
1	77,8	saisie	77,8	cocktail	Beach	Jefferson	couverture	Turquie	Genina	saisie	rendre	77,8	star	star	star	personnel	77,8	star	star	BohêmeP.E.	personnel	insu	rendre	clermontaine	véhicule	véhicule	star	personnel	vol	vol	vol	personnel	77,8	11,1	saisie	saisie	350
2	11,1	77,8	roue	Park	poche	formule	floristique	Rein	jeune	77,8	peine	travail	Roberto	Roberto	Roberto	rendre	travail	Roberto	Roberto	SbAs	77,8	envisager	roue	2017.Le	pic	travail	Roberto	saisie	total	total	total	luminosité	476	vélo	77,8	peine	Opera
3	roue	roue	11,1	1830	faire	campagne	métropole	rencontrer	React)Berlin	rendre	personnel	mijoter	generer	generer	generer	peine	millier	generer	generer	football	rendre	clermontaine	vélo	brésilien.1999	38,79	woke	generer	dissimuler	provocateur	provocateur	provocateur	roue	roue	77,8	peine	77,8	coefficient
4	rendre	11,1	rendre	navire	Superligue	section	quarterback	préfigure	québécois	peine	77,8	luminosité	suiteniel	suiteniel	suiteniel	77,8	pourtant	suiteniel	suiteniel	DayThe	peine	habiter	77,8	Honneur8	65,8	mijoter	suiteniel	11,1	en).dissolution	en).dissolution	en).dissolution	décoratif	rendre	roue	roue	amende	11
5	travail	peine	saisie	racisme	Pompano	époque	Beauvais	voiler	public	roue	amende	décoratif	Scott	Scott	Scott	amende	dissimuler	Scott	Scott	Hell	roue	aspect	dissimuler	editor	1831	roue	Scott	roue	football	football	football	aspect	11,1	rendre	rendre	vélo	intérêt
6	vélo	rendre	vélo	flot	Bain	harcèlement	effectif	R-2M-2R-2M-2R-2M	"12"")Time"	vélo	roue	woke	avatar	avatar	avatar	autorité	porc	avatar	avatar	sexuel	autorité	Turquie	besoin	animateur	273	attaquant	avatar	camion	neuf	neuf	neuf	condiment	feuilleté	aspect	vélo	roue	Black
7	besoin	dissimuler	travail	1935	émission	cible	humiliation	Asteras	reprocher	11,1	11,1	attaquant	problématique	problématique	problématique	roue	détracteur	problématique	problématique	Saint-Parthem	vélo	2017.Le	11,1	masse	77,8	détracteur	problématique	1520	You	You	You	porc	tremper	décoratif	amende	11,1	annoncer
8	aspect	autorité	besoin	politique	vouloir	conseiller	opus	2002.ressources	cristallin	amende	autorité	aspect	brûle	brûle	brûle	11,1	condiment	brûle	brûle	Thomas	11,1	agricole	travail	agriculture	km2	luminosité	brûle	choisir	fonder	fonder	fonder	mijoter	translucide	luminosité	11,1	autorité	genre
9	décoratif	amende	luminosité	transport	associer	sécheresse	65,8	pratique	steps	autorité	découvrir	condiment	m	m	m	découvrir	luminosité	m	m	réserver	dissimuler	compte	saisie	lacération	142,43	476	m	rendre	Attica	Attica	Attica	attaquant	dessin	dōngpō	dissimuler	rendre	45
