	PCA_ncomponents_100	PPMI_PCA_ncomponents_100	PPMI_add1_PCA_ncomponents_100	PPMI_LocallyLinearEmbedding_ncomponents_100	PPMI_add1_LocallyLinearEmbedding_ncomponents_100	LocallyLinearEmbedding_ncomponents_100	simpleCount	PPMI_VarianceThreshold_threshold_005	PPMI_add1_VarianceThreshold_threshold_0005	VarianceThreshold_threshold_05	VarianceThreshold_threshold_04	VarianceThreshold_threshold_01	PPMI_add1_VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_001	VarianceThreshold_threshold_03	VarianceThreshold_threshold_02	PPMI_add1_VarianceThreshold_threshold_001	PPMI_VarianceThreshold_threshold_0005	PPMI_add1_VarianceThreshold_threshold_005	VarianceThreshold_threshold_002	VarianceThreshold_threshold_001	VarianceThreshold_threshold_005	PPMI_VarianceThreshold_threshold_01	PPMI_VarianceThreshold_threshold_03	PPMI_VarianceThreshold_threshold_02	PPMI_add1_NMF_ncomponents_100	NMF_ncomponents_100	PPMI_NMF_ncomponents_100	PPMI_add1	w2v
0	monastère	Dương	sud	perron	sud	ancien	construire	situer	être	commune	état	centaine	être	Bảo	annuler	jeune	être	situer	ose	construire	construire	chapelle	situer	Bunmei	sud	millard	Linh	visitable	être	être
1	côté	Bảo	quartier	Lambkin	Illinois	gros	illustratrice	être	grand	état	avril	voie	situer	Lộc	premier	premier	commune	natal	mention	village	village	construire	nord	padouegrand	ancien	Héraklion	shi	Đà	situer	partie
2	village	Lộc	aujourd'hui	1673	Jourdain	Welby	village	construire	ancien	avril	armée	siècle	grand	Dương	avancée	jamais	ancien	Bảo	guide	chapelle	nord	donner	village	banzai	aujourd'hui	Yanbian	湖西市	Lộc	grand	faire
3	construire	Đơn	porte	concomitant	Edgar	admettre	nord	sud	situer	armée	bien	édifice	nord	centre	détruire	construire	village	Dương	1861.La	nord	Duc	Julie	région	adsl	chapelle	湖西市	photogr	Sintra	siècle	année
4	sud	Đà	capitale	ignore	variation	avance	situer	île	partie	bien	pouvoir	corps	partie	situer	cause	avoir	siècle	district	Hétairiste	donner	donner	saint	ancien	14	emplacement	shi	Levadé	Lạt	nord	grand
5	proximité	Đức	port	estomper	phare	toutefois	sud	grand	village	pouvoir	lieu	pont	village	Daejeon	comte	annuler	français	centre	actuel	ancien	ancien	fait	construire	Luisa	Saint-Michel	GrimaldiPhotographie	Eddy	Dương	partie	ancien
6	vallée	Trọng	centre	Groenland	originaire	tir	être	nord	siècle	lieu	créer	chapelle	ancien	funéraillesHarry	événement	romain	lieu	Daejeon	innocenter	vitrer	condamner	Lecornu	centre	Lambesis	ouest	agoniser	Yanbian	Đơn	sud	an
7	Emmeramer	Lạt	village	Méliès	تاگرسيفت	an	partie	église	commune	créer	ajouter	Vimy	siècle	natal	romain	comte	partie	Linh	aucun	franc-maçon	église	lieu	sud	Bogandé	ermitage	Linh	Héraklion	Đức	ancien	devenir
8	puisque	grue	siège	fère	Indiana	gestapo	rénover	château	faire	finalement	finalement	Julie	faire	Upar	palais	palais	grand	Belfast	retirer	Duc	chapelle	village	église	mortuaire	Éthiopie	2004martin	Moosburger	Trọng	faire	château
9	chapelle	Abiquiú	trouve	wagon	Beaverville	eurovision	donner	centre	lieu	dernier	période	interpréter	église	Đà	consacrer	considérer	région	oblast	10	sud	sud	monastère	capitale	lesbien	clocher	Kluger	uwe	1894.liste	centre	nom
