	PCA_ncomponents_100	PPMI_PCA_ncomponents_100	PPMI_add1_PCA_ncomponents_100	PPMI_LocallyLinearEmbedding_ncomponents_100	PPMI_add1_LocallyLinearEmbedding_ncomponents_100	LocallyLinearEmbedding_ncomponents_100	PPMI_add1_MDS_ncomponents_100	PPMI_MDS_ncomponents_100	MDS_ncomponents_100	simpleCount	PPMI_VarianceThreshold_threshold_005	PPMI_add1_VarianceThreshold_threshold_0005	VarianceThreshold_threshold_05	VarianceThreshold_threshold_04	VarianceThreshold_threshold_01	PPMI_add1_VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_001	PPMI_VarianceThreshold_threshold_015	VarianceThreshold_threshold_03	VarianceThreshold_threshold_02	PPMI_add1_VarianceThreshold_threshold_001	VarianceThreshold_threshold_0001	VarianceThreshold_threshold_0005	VarianceThreshold_threshold_002	VarianceThreshold_threshold_001	VarianceThreshold_threshold_005	PPMI_VarianceThreshold_threshold_01	PPMI_VarianceThreshold_threshold_03	PPMI_VarianceThreshold_threshold_02	PPMI_VarianceThreshold_threshold_04	PPMI_add1_NMF_ncomponents_100	NMF_ncomponents_100	PPMI_NMF_ncomponents_100	PPMI_add1	PPMI	w2v
0	étirer	apprêter	étirer	blesser	Poo	tenter	combat	inactif	Helsinki	dissimuler	sauter	étirer	lever	lever	lever	étirer	sauter	millier	lever	lever	étirer	sauter	étirer	responsabilité	étirer	lever	étirer	aller	circuler	aller	frontière	étirer	pourtant	apprêter	apprêter	Jōetsu
1	Doïranis	embarquer	queue	téléviser	tenter	contrôle	développement	Jackson	1r	sauter	apprêter	circuler	star	star	star	sauter	apprêter	dissimuler	star	star	ministère	apprêter	queue	ministère	Évzoni	star	saisie	vol	étirer	vol	étirer	queue	millier	sauter	sauter	dell'
2	frontière	insu	frontière	mig	radio	investissement	renvoyer	renommée	démanteler	étirer	dissimuler	Jay	Roberto	Roberto	Roberto	migrant	dissimuler	pourtant	Roberto	Roberto	réorganiser	étirer	dissimuler	détailler	queue	Roberto	dissimuler	total	potager	total	promachóna	magistrat	tenter	embarquer	embarquer	maison
3	queue	dissimuler	dissimuler	moquer	Antoni	gréco-émirati	sortant	hôt	OctobrePierre	apprêter	embarquer	pont-barrage	generer	generer	generer	saisie	embarquer	queue	generer	generer	demi	dissimuler	Évzoni	Doïranis	macédonien	generer	queue	provocateur	filmer	provocateur	insu	applique	dissimuler	dissimuler	dissimuler	Underground
4	macédonien	sauter	Doïranis	Yánnis	promettre	décrire	Colombie	acquisition	aubergiste	embarquer	tenter	queue	suiteniel	suiteniel	suiteniel	portuaire	étirer	pont-barrage	suiteniel	suiteniel	XV	queue	Doïranis	Évzoni	circuler	suiteniel	véhicule	en).dissolution	faute	en).dissolution	circuler	millimètre	déstabiliser	étirer	partance	enduit
5	Évzoni	tenter	macédonien	South	fonctionnement	blesser	OCLC	Stanis	topotype	queue	insu	5).Après	Scott	Scott	Scott	circuler	tenter	5).Après	Scott	Scott	émettre	embarquer	saisie	circuler	Doïranis	Scott	migrant	football	Jay	football	queue	paratyp	partenaire	queue	étirer	Portail
6	circuler	queue	promachóna	107	arriver	tardif	35,3	annexe	Thomas	pourtant	partance	potager	avatar	avatar	avatar	minerai	pourtant	potager	avatar	avatar	2017).Augustin	insu	apprêter	réorganiser	laisser	avatar	Doïranis	neuf	1773	neuf	Doïranis	femelle	insu	partance	insu	1914
7	dissimuler	partance	Évzoni	Méditerranée	printemps	hellénistique	RHN	atlin	Mattoli1936	tenter	étirer	Augusto	problématique	problématique	problématique	frontière	insu	Augusto	problématique	problématique	circuler	tenter	sauter	hommage	responsabilité	problématique	Évzoni	You	5).Après	You	potager	mâle	réfugié	insu	pourtant	rouleau
8	responsabilité	migrant	pourtant	idée	94	Villèle	précisément	commerce	Requiem	insu	migrant	Évzoni	brûle	brûle	brûle	tenter	queue	Jay	brûle	brûle	Évzoni	partance	macédonien	émettre	5).Après	brûle	afghans	fonder	queue	fonder	macédonien	42,5	UE	pourtant	tenter	traduire
9	1891	grièvement	apprêter	approche	sacre	16	19	Interim	Hermalle-sous-Argenteau	partance	pourtant	Doïranis	m	m	m	laisser	partance	étirer	m	m	html	pourtant	circuler	macédonien	potager	m	portuaire	Attica	étudier	Attica	dissimuler	abdomen	migrant	tenter	ferry	Saussure
