	PCA_ncomponents_100	PPMI_PCA_ncomponents_100	PPMI_add1_PCA_ncomponents_100	PPMI_LocallyLinearEmbedding_ncomponents_100	PPMI_add1_LocallyLinearEmbedding_ncomponents_100	LocallyLinearEmbedding_ncomponents_100	PPMI_add1_MDS_ncomponents_100	PPMI_MDS_ncomponents_100	MDS_ncomponents_100	simpleCount	PPMI_add1_VarianceThreshold_threshold_0005	VarianceThreshold_threshold_05	VarianceThreshold_threshold_01	PPMI_add1_VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_001	VarianceThreshold_threshold_03	PPMI_add1_VarianceThreshold_threshold_001	VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_0001	VarianceThreshold_threshold_002	VarianceThreshold_threshold_001	PPMI_VarianceThreshold_threshold_01	PPMI_VarianceThreshold_threshold_03	PPMI_VarianceThreshold_threshold_02	PPMI_add1_NMF_ncomponents_100	NMF_ncomponents_100	PPMI_NMF_ncomponents_100	PPMI	PPMI_add1	w2v
0	belge	nord-est	nord-est	méandre	nord-est	belge	belge	nord-est	belge	belge	belge	verger	Liège	nord-est	nord-est	verger	belge	belge	nord-est	belge	belge	nord-est	belge	intérieur	nord-est	situe	méandre	nord-est	nord-est	mort
1	situe	plat	plat	nord-est	plat	intérieur	situe	situe	distance	nord-est	quasi-totalité	Angleterre	pont	belge	intérieur	Angleterre	situe	nord-est	intérieur	quasi-totalité	quasi-totalité	intérieur	situe	plat	plat	sud-ouest	nord-est	intérieur	belge	sud
2	plat	intérieur	belge	plat	intérieur	nord-est	posséder	sud-ouest	plat	situe	occupe	fin	autonome	intérieur	méandre	fin	quasi-totalité	situe	méandre	situe	situe	méandre	situer	nord-est	belge	RYCM	plat	méandre	intérieur	ligne
3	nord-est	méandre	situe	intérieur	méandre	plat	méandre	plat	sud-ouest	plat	autonome	1904	darse	situe	Liège	1904	plat	plat	Liège	autonome	occupe	Liège	Monsin	belge	quasi-totalité	nord-est	intérieur	Liège	situe	publiquement
4	sud-ouest	situe	méandre	belge	belge	méandre	distance	méandre	situe	Monsin	situe	comportement	1,02	plat	plat	comportement	occupe	Monsin	plat	occupe	autonome	plat	canal	sud-ouest	occupe	belge	belge	plat	plat	existe
5	Monsin	belge	intérieur	Liège	Meuse	situe	RYCM	situer	nord-est	intérieur	sud-ouest	négatif	posséder	méandre	situe	négatif	autonome	intérieur	situe	Monsin	Monsin	situe	Albert	RYCM	autonome	plat	situer	situe	méandre	longueur
6	quasi-totalité	Meuse	sud-ouest	traverse	situe	Meuse	nord-est	belge	détache	méandre	RYCM	occupe	quasi-totalité	Liège	belge	occupe	nord-est	méandre	belge	rejoindre	RYCM	belge	intérieur	Yacht	méandre	1,02	situe	belge	Liège	physique
7	occupe	sud-ouest	RYCM	pont-barrage	accessible	accessible	plat	Liège	auparavant	sud-ouest	plat	isbn	ligne	sud-ouest	Meuse	isbn	méandre	sud-ouest	Meuse	BelgiqueOutremeusehttps://www.liege.be/fr/decouvrir/plein-air/au-fil-de-leau/ile-monsinhttps://rycm.be/	nord-est	Meuse	méandre	méandre	intérieur	quasi-totalité	Meuse	Meuse	sud-ouest	vol
8	méandre	Liège	Monsin	situer	routier	routier	situer	club	Hermalle-sous-Argenteau	distance	nord-est	substantif	parcourir	situer	sud-ouest	substantif	intérieur	distance	sud-ouest	292list	plat	île	île	situe	situe	Monsin	canal	sud-ouest	situer	143
9	autonome	RYCM	situer	situe	Monsin	auparavant	sud-ouest	île	Monsin	Liège	intérieur	xvii	superficie	Monsin	île	xvii	Monsin	Liège	île	Jupille	sud-ouest	situer	sud-ouest	Liège	rue	occupe	Liège	île	Monsin	social
